record_id,production_date,quarter,department,day_name,team_no,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1,2015-01-01,Quarter1,Sewing,Thursday,8,0.8,26.16,1108.0,7080,98,0,0,0,59.0,0.940725
2,2015-01-01,Quarter1,Finishing,Thursday,1,0.75,3.94,,960,0,0,0,0,8.0,0.8865
3,2015-01-01,Quarter1,Sewing,Thursday,11,0.8,11.41,968.0,3660,50,0,0,0,30.5,0.80057
4,2015-01-01,Quarter1,Sewing,Thursday,12,0.8,11.41,968.0,3660,50,0,0,0,30.5,0.80057
5,2015-01-01,Quarter1,Sewing,Thursday,6,0.8,25.9,1170.0,1920,50,0,0,0,56.0,0.800382
6,2015-01-01,Quarter1,Sewing,Thursday,7,0.8,25.9,984.0,6720,38,0,0,0,56.0,0.800125
7,2015-01-01,Quarter1,Finishing,Thursday,2,0.75,3.94,,960,0,0,0,0,8.0,0.755167
8,2015-01-01,Quarter1,Sewing,Thursday,3,0.75,28.08,795.0,6900,45,0,0,0,57.5,0.753684
9,2015-01-01,Quarter1,Sewing,Thursday,2,0.75,19.87,733.0,6000,34,0,0,0,55.0,0.753098
10,2015-01-01,Quarter1,Sewing,Thursday,1,0.75,28.08,681.0,6900,45,0,0,0,57.5,0.750428
11,2015-01-01,Quarter1,Sewing,Thursday,9,0.7,28.08,872.0,6900,44,0,0,0,57.5,0.721127
12,2015-01-01,Quarter1,Sewing,Thursday,10,0.75,19.31,578.0,6480,45,0,0,0,54.0,0.712205
13,2015-01-01,Quarter1,Sewing,Thursday,5,0.8,11.41,668.0,3660,50,0,0,0,30.5,0.707046
14,2015-01-01,Quarter1,Finishing,Thursday,10,0.65,3.94,,960,0,0,0,0,8.0,0.705917
15,2015-01-01,Quarter1,Finishing,Thursday,8,0.75,2.9,,960,0,0,0,0,8.0,0.676667
16,2015-01-01,Quarter1,Finishing,Thursday,4,0.75,3.94,,2160,0,0,0,0,18.0,0.593056
17,2015-01-01,Quarter1,Finishing,Thursday,7,0.8,2.9,,960,0,0,0,0,8.0,0.540729
18,2015-01-01,Quarter1,Sewing,Thursday,4,0.65,23.69,861.0,7200,0,0,0,0,60.0,0.52118
19,2015-01-01,Quarter1,Finishing,Thursday,11,0.7,4.15,,1440,0,0,0,0,12.0,0.436326
20,2015-01-03,Quarter1,Finishing,Saturday,4,0.8,4.15,,6600,0,0,0,0,20.0,0.988025
21,2015-01-03,Quarter1,Finishing,Saturday,11,0.75,2.9,,5640,0,0,0,0,17.0,0.98788
22,2015-01-03,Quarter1,Finishing,Saturday,9,0.8,4.15,,960,0,0,0,0,8.0,0.956271
23,2015-01-03,Quarter1,Finishing,Saturday,3,0.75,3.94,,1560,0,0,0,0,8.0,0.945278
24,2015-01-03,Quarter1,Finishing,Saturday,1,0.8,3.94,,960,0,0,0,0,8.0,0.902917
25,2015-01-03,Quarter1,Sewing,Saturday,1,0.8,28.08,772.0,6300,50,0,0,0,56.5,0.800725
26,2015-01-03,Quarter1,Sewing,Saturday,3,0.8,28.08,913.0,6540,50,0,0,0,54.5,0.800323
27,2015-01-03,Quarter1,Sewing,Saturday,8,0.8,26.16,1261.0,7080,50,0,0,0,59.0,0.800319
28,2015-01-03,Quarter1,Sewing,Saturday,12,0.8,26.16,844.0,7080,63,0,0,0,59.0,0.800319
29,2015-01-03,Quarter1,Sewing,Saturday,11,0.8,11.61,1005.0,7080,50,0,0,0,29.5,0.800237
30,2015-01-03,Quarter1,Sewing,Saturday,5,0.8,11.61,659.0,7080,50,0,0,0,31.5,0.800149
31,2015-01-03,Quarter1,Sewing,Saturday,6,0.8,25.9,1152.0,6720,50,0,0,0,56.0,0.800125
